Id,Label,generation 0,generation 1,generation 2,generation
368,CASE OF BULENA v. CZECH REPUBLIC,False,False,True,2
369,CASE OF BREGA v. MOLDOVA,False,False,True,2
370,CASE OF HAAS v. SWITZERLAND,False,False,True,2
371,CASE OF LITVINOVA v. RUSSIA,False,True,False,1
372,CASE OF SCHÄDLER-EBERLE v. LIECHTENSTEIN,False,True,False,1
373,CASE OF ALBU AND OTHERS v. ROMANIA,False,False,True,2
374,CASE OF SŁAWOMIR MUSIAŁ v. POLAND,False,False,True,2
375,CASE OF GUERRA AND OTHERS v. ITALY,False,True,False,1
376,CASE OF KONTSEVYCH v. UKRAINE,True,True,False,0-1
377,CASE OF PHILIS v. GREECE,False,True,False,1
378,CASE OF PYLAYEVY v. RUSSIA,True,False,False,0
379,CASE OF KADUBEC v. SLOVAKIA,False,False,True,2
380,CASE OF MAKSYMENKO AND GERASYMENKO v. UKRAINE,False,False,True,2
381,CASE OF VATAN v. RUSSIA,False,False,True,2
382,CASE OF McCANN AND OTHERS v. THE UNITED KINGDOM,False,True,False,1
383,CASE OF NOVOSELOV v. RUSSIA,False,False,True,2
384,CASE OF DIENNET v. FRANCE,False,False,True,2
385,CASE OF NEULINGER AND SHURUK v. SWITZERLAND,False,False,True,2
386,CASE OF MIAILHE v. FRANCE (No. 1),False,True,False,1
387,CASE OF DI TRIZIO v. SWITZERLAND,False,False,True,2
388,CASE OF K.A. AND A.D. v. BELGIUM,False,False,True,2
389,CASE OF LEGER v. FRANCE,False,False,True,2
390,CASE OF NIKOLAY ZAYTSEV v. RUSSIA,False,False,True,2
391,CASE OF SERIF v. GREECE,False,False,True,2
392,CASE OF TRABELSI v. BELGIUM,False,False,True,2
393,CASE OF DEL SOL v. FRANCE,False,False,True,2
394,CASE OF LANDVREUGD v. THE NETHERLANDS,False,False,True,2
395,CASE OF SPORRONG AND LÖNNROTH v. SWEDEN (ARTICLE 50),False,True,False,1
396,CASE OF P.G. AND J.H. v. THE UNITED KINGDOM,False,False,True,2
397,CASE OF M.M. v. THE NETHERLANDS,False,False,True,2
398,CASE OF KHAN v. THE UNITED KINGDOM,False,False,True,2
399,CASE OF KOSIEK v. GERMANY,False,False,True,2
400,CASE OF VALLIANATOS AND OTHERS v. GREECE,False,True,False,1
401,CASE OF PEREZ v. FRANCE,False,False,True,2
402,CASE OF DAMAYEV v. RUSSIA,False,False,True,2
403,CASE OF ŠKRTIĆ v. CROATIA,True,True,False,0-1
404,CASE OF MATYAR v. TURKEY,False,True,False,1
